x,eta,u,v,pressure
-3.14159,0.05699,2.51593,0.08043,0.0002888
-3.12930,0.05699,2.51581,0.07965,0.0002743
-3.11700,0.05667,2.51680,0.07875,0.0002599
-3.10471,0.05645,2.51663,0.07846,0.0002452
-3.09241,0.05585,2.51144,0.07436,0.0002325
-3.08011,0.05474,2.51184,0.07403,0.0002149
-3.06782,0.05391,2.51313,0.07457,0.0001958
-3.05552,0.05304,2.51389,0.07464,0.0001723
-3.04323,0.05029,2.54128,0.07219,0.0001500
-3.03093,0.04865,2.54197,0.07182,0.0001337
-3.01863,0.04679,2.55414,0.07774,0.0001204
-3.00634,0.04677,2.55647,0.07824,0.0001057
-2.99404,0.04406,2.56974,0.07978,0.0000865
-2.98175,0.04112,2.57101,0.07970,0.0000682
-2.96945,0.04001,2.59138,0.08834,0.0000519
-2.95715,0.03771,2.59463,0.09010,0.0000316
-2.94486,0.03415,2.61851,0.09211,0.0000113
-2.93256,0.03293,2.61859,0.09215,-0.0000090
-2.92027,0.02918,2.63716,0.09980,-0.0000300
-2.90797,0.02784,2.63757,0.10047,-0.0000439
-2.89568,0.02355,2.64841,0.09960,-0.0000613
-2.88338,0.02076,2.64834,0.09970,-0.0000757
-2.87108,0.01958,2.66076,0.09889,-0.0001025
-2.85879,0.01747,2.66080,0.09915,-0.0001206
-2.84649,0.01362,2.67784,0.09304,-0.0001363
-2.83420,0.01231,2.67735,0.09304,-0.0001513
-2.82190,0.00973,2.68261,0.09003,-0.0001689
-2.80960,0.00588,2.68116,0.09005,-0.0001832
-2.79731,0.00462,2.69274,0.08149,-0.0002074
-2.78501,0.00154,2.69272,0.08191,-0.0002249
-2.77272,-0.00219,2.69939,0.07762,-0.0002451
-2.76042,-0.00225,2.69830,0.07785,-0.0002640
-2.74813,-0.00608,2.71566,0.06811,-0.0002895
-2.73583,-0.00867,2.71511,0.06831,-0.0003097
-2.72353,-0.00979,2.72085,0.06277,-0.0003270
-2.71124,-0.01309,2.71965,0.06304,-0.0003503
-2.69894,-0.01415,2.72878,0.04830,-0.0003695
-2.68665,-0.01725,2.72866,0.04838,-0.0003897
-2.67435,-0.01924,2.72910,0.03859,-0.0004014
-2.66205,-0.02020,2.72774,0.03836,-0.0004185
-2.64976,-0.02333,2.73666,0.02135,-0.0004375
-2.63746,-0.02515,2.73528,0.02087,-0.0004479
-2.62517,-0.02518,2.73202,0.00880,-0.0004683
-2.61287,-0.02691,2.72876,0.00788,-0.0004728
-2.60057,-0.02883,2.73011,-0.01165,-0.0004845
-2.58828,-0.03058,2.72757,-0.01246,-0.0004892
-2.57598,-0.03258,2.72332,-0.02605,-0.0004909
-2.56369,-0.03326,2.71959,-0.02695,-0.0004942
-2.55139,-0.03518,2.72308,-0.04475,-0.0004943
-2.53910,-0.03637,2.72056,-0.04503,-0.0004930
-2.52680,-0.03694,2.71215,-0.05714,-0.0004885
-2.51450,-0.03852,2.70830,-0.05777,-0.0004812
-2.50221,-0.03901,2.70576,-0.07279,-0.0004722
-2.48991,-0.03994,2.70309,-0.07345,-0.0004648
-2.47762,-0.04115,2.69434,-0.08058,-0.0004475
-2.46532,-0.04156,2.69210,-0.08082,-0.0004326
-2.45302,-0.04235,2.68638,-0.09530,-0.0004185
-2.44073,-0.04303,2.68418,-0.09575,-0.0003976
-2.42843,-0.04361,2.67227,-0.09909,-0.0003781
-2.41614,-0.04412,2.67047,-0.09851,-0.0003594
-2.40384,-0.04446,2.66351,-0.10591,-0.0003390
-2.39155,-0.04448,2.66244,-0.10602,-0.0003179
-2.37925,-0.04471,2.64981,-0.10713,-0.0002971
-2.36695,-0.04486,2.64709,-0.10709,-0.0002754
-2.35466,-0.04493,2.64081,-0.10838,-0.0002544
-2.34236,-0.04484,2.63970,-0.10826,-0.0002319
-2.33007,-0.04469,2.62481,-0.10762,-0.0002104
-2.31777,-0.04444,2.62195,-0.10769,-0.0001878
-2.30547,-0.04439,2.61494,-0.10232,-0.0001674
-2.29318,-0.04397,2.61404,-0.10167,-0.0001465
-2.28088,-0.04329,2.60028,-0.09497,-0.0001282
-2.26859,-0.04290,2.59788,-0.09421,-0.0001113
-2.25629,-0.04230,2.59441,-0.08215,-0.0000918
-2.24399,-0.04143,2.59360,-0.08140,-0.0000713
-2.23170,-0.04105,2.58557,-0.07402,-0.0000514
-2.21940,-0.03978,2.58442,-0.07319,-0.0000328
-2.20711,-0.03883,2.57101,-0.05910,-0.0000146
-2.19481,-0.03833,2.57077,-0.05820,0.0000038
-2.18252,-0.03672,2.56372,-0.05123,0.0000199
-2.17022,-0.03553,2.56317,-0.05062,0.0000364
-2.15792,-0.03492,2.55656,-0.04136,0.0000512
-2.14563,-0.03297,2.55677,-0.04105,0.0000661
-2.13333,-0.03228,2.55514,-0.03945,0.0000801
-2.12104,-0.03091,2.55545,-0.03913,0.0000915
-2.10874,-0.02959,2.53154,-0.03670,0.0001012
-2.09644,-0.02813,2.53145,-0.03684,0.0001139
-2.08415,-0.02491,2.53107,-0.03624,0.0001256
-2.07185,-0.02340,2.53271,-0.03580,0.0001361
-2.05956,-0.02178,2.52195,-0.03313,0.0001429
-2.04726,-0.01983,2.52280,-0.03310,0.0001527
-2.03497,-0.01789,2.52269,-0.02927,0.0001646
-2.02267,-0.01689,2.52476,-0.02948,0.0001760
-2.01037,-0.01383,2.50994,-0.02189,0.0001875
-1.99808,-0.01278,2.51168,-0.02313,0.0001984
-1.98578,-0.00955,2.50930,-0.02188,0.0002103
-1.97349,-0.00734,2.50973,-0.02333,0.0002240
-1.96119,-0.00627,2.50929,-0.01762,0.0002331
-1.94889,-0.00232,2.50881,-0.01892,0.0002454
-1.93660,-0.00003,2.50261,-0.02624,0.0002590
-1.92430,0.00174,2.50187,-0.02638,0.0002783
-1.91201,0.00437,2.49108,-0.02538,0.0002964
-1.89971,0.00560,2.48988,-0.02578,0.0003189
-1.88741,0.00810,2.48480,-0.03361,0.0003423
-1.87512,0.01186,2.48412,-0.03321,0.0003666
-1.86282,0.01314,2.48364,-0.03888,0.0003923
-1.85053,0.01699,2.48349,-0.03928,0.0004210
-1.83823,0.01893,2.47972,-0.04495,0.0004361
-1.82594,0.02051,2.47924,-0.04450,0.0004526
-1.81364,0.02514,2.49229,-0.05075,0.0004585
-1.80134,0.02690,2.49232,-0.05106,0.0004778
-1.78905,0.02848,2.50306,-0.05291,0.0004912
-1.77675,0.03213,2.50303,-0.05225,0.0005023
-1.76446,0.03333,2.52132,-0.04972,0.0005146
-1.75216,0.03682,2.52128,-0.04951,0.0005209
-1.73986,0.03797,2.53319,-0.04521,0.0005295
-1.72757,0.04020,2.53356,-0.04455,0.0005405
-1.71527,0.04313,2.55842,-0.03194,0.0005364
-1.70298,0.04428,2.55890,-0.03165,0.0005314
-1.69068,0.04639,2.56846,-0.02059,0.0005284
-1.67839,0.04906,2.56845,-0.01999,0.0005261
-1.66609,0.05020,2.59139,0.00145,0.0005221
-1.65379,0.05122,2.59133,0.00160,0.0005204
-1.64150,0.05287,2.59919,0.01227,0.0005184
-1.62920,0.05396,2.59886,0.01283,0.0005131
-1.61691,0.05515,2.61050,0.03358,0.0004960
-1.60461,0.05556,2.61066,0.03383,0.0004804
-1.59231,0.05615,2.61351,0.04391,0.0004650
-1.58002,0.05672,2.61294,0.04443,0.0004518
-1.56772,0.05687,2.62585,0.06299,0.0004397
-1.55543,0.05686,2.62585,0.06299,0.0004277
-1.54313,0.05653,2.62428,0.06955,0.0004166
-1.53083,0.05630,2.62435,0.07032,0.0004058
-1.51854,0.05533,2.62499,0.08154,0.0003935
-1.50624,0.05462,2.62511,0.08161,0.0003808
-1.49395,0.05395,2.62109,0.08818,0.0003626
-1.48165,0.05194,2.62088,0.08863,0.0003403
-1.46936,0.05025,2.62621,0.09799,0.0003207
-1.45706,0.05002,2.62600,0.09791,0.0003035
-1.44476,0.04845,2.62182,0.10208,0.0002916
-1.43247,0.04654,2.62125,0.10201,0.0002776
-1.42017,0.04294,2.61407,0.10440,0.0002538
-1.40788,0.04097,2.61384,0.10439,0.0002356
-1.39558,0.03986,2.61147,0.10772,0.0002189
-1.38328,0.03640,2.61050,0.10768,0.0001986
-1.37099,0.03402,2.61049,0.11005,0.0001782
-1.35869,0.03280,2.61020,0.11011,0.0001567
-1.34640,0.02912,2.61139,0.11130,0.0001398
-1.33410,0.02773,2.61113,0.11121,0.0001160
-1.32181,0.02593,2.60873,0.10932,0.0000942
-1.30951,0.02337,2.60892,0.10893,0.0000803
-1.29721,0.01987,2.61524,0.10828,0.0000469
-1.28492,0.01612,2.61527,0.10835,0.0000253
-1.27262,0.01482,2.62433,0.10065,0.0000075
-1.26033,0.01221,2.62394,0.10070,-0.0000072
-1.24803,0.00834,2.62693,0.09691,-0.0000253
-1.23573,0.00578,2.62716,0.09704,-0.0000549
-1.22344,0.00451,2.63540,0.08449,-0.0000758
-1.21114,0.00153,2.63537,0.08448,-0.0000953
-1.19885,-0.00231,2.64151,0.07637,-0.0001153
-1.18655,-0.00459,2.64190,0.07643,-0.0001361
-1.17425,-0.00636,2.65752,0.06008,-0.0001588
-1.16196,-0.00763,2.65775,0.05970,-0.0001772
-1.14966,-0.01101,2.66437,0.05112,-0.0001977
-1.13737,-0.01211,2.66454,0.05094,-0.0002174
-1.12507,-0.01425,2.67689,0.03490,-0.0002356
-1.11278,-0.01735,2.67697,0.03487,-0.0002538
-1.10048,-0.01835,2.68652,0.02433,-0.0002705
-1.08818,-0.02027,2.68664,0.02417,-0.0002831
-1.07589,-0.02349,2.70303,0.00481,-0.0003029
-1.06359,-0.02519,2.70342,0.00471,-0.0003105
-1.05130,-0.02700,2.71236,-0.00647,-0.0003272
-1.03900,-0.02701,2.71265,-0.00664,-0.0003367
-1.02670,-0.02890,2.72390,-0.02621,-0.0003526
-1.01441,-0.03122,2.72396,-0.02649,-0.0003612
-1.00211,-0.03193,2.73260,-0.03968,-0.0003708
-0.98982,-0.03330,2.73257,-0.03984,-0.0003800
-0.97752,-0.03521,2.74292,-0.05981,-0.0003869
-0.96523,-0.03581,2.74306,-0.06038,-0.0003951
-0.95293,-0.03750,2.74885,-0.07426,-0.0004002
-0.94063,-0.03803,2.74884,-0.07461,-0.0004042
-0.92834,-0.03902,2.74912,-0.09434,-0.0004062
-0.91604,-0.04037,2.74919,-0.09511,-0.0004055
-0.90375,-0.04114,2.74486,-0.10665,-0.0004033
-0.89145,-0.04156,2.74457,-0.10691,-0.0003984
-0.87915,-0.04235,2.73939,-0.12117,-0.0003875
-0.86686,-0.04304,2.73859,-0.12199,-0.0003781
-0.85456,-0.04333,2.72922,-0.12748,-0.0003656
-0.84227,-0.04379,2.72894,-0.12747,-0.0003487
-0.82997,-0.04414,2.71796,-0.13566,-0.0003289
-0.81767,-0.04466,2.71730,-0.13564,-0.0003082
-0.80538,-0.04480,2.70546,-0.13420,-0.0002856
-0.79308,-0.04482,2.70490,-0.13405,-0.0002611
-0.78079,-0.04489,2.69140,-0.13393,-0.0002345
-0.76849,-0.04486,2.69079,-0.13408,-0.0002057
-0.75620,-0.04477,2.68233,-0.12832,-0.0001748
-0.74390,-0.04436,2.68168,-0.12812,-0.0001416
-0.73160,-0.04407,2.66883,-0.12213,-0.0001092
-0.71931,-0.04364,2.66797,-0.12192,-0.0000751
-0.70701,-0.04334,2.66093,-0.11437,-0.0000415
-0.69472,-0.04289,2.66053,-0.11415,-0.0000076
-0.68242,-0.04205,2.65213,-0.10390,0.0000284
-0.67012,-0.04168,2.65134,-0.10376,0.0000659
-0.65783,-0.04094,2.64631,-0.09916,0.0001028
-0.64553,-0.03966,2.64592,-0.09916,0.0001388
-0.63324,-0.03920,2.62586,-0.08626,0.0001743
-0.62094,-0.03770,2.62489,-0.08591,0.0002086
-0.60865,-0.03660,2.61950,-0.07954,0.0002410
-0.59635,-0.03601,2.61937,-0.07938,0.0002730
-0.58405,-0.03416,2.60120,-0.06515,0.0003011
-0.57176,-0.03284,2.60062,-0.06508,0.0003310
-0.55946,-0.03216,2.59197,-0.06090,0.0003582
-0.54717,-0.03022,2.59160,-0.06091,0.0003768
-0.53487,-0.02820,2.56882,-0.04371,0.0003903
-0.52257,-0.02789,2.56863,-0.04351,0.0004076
-0.51028,-0.02601,2.56051,-0.03521,0.0004230
-0.49798,-0.02422,2.55996,-0.03501,0.0004388
-0.48569,-0.02147,2.54707,-0.01678,0.0004501
-0.47339,-0.02027,2.54675,-0.01665,0.0004656
-0.46109,-0.01877,2.54091,-0.00856,0.0004772
-0.44880,-0.01577,2.54056,-0.00834,0.0004894
-0.43650,-0.01372,2.53341,0.01353,0.0005030
-0.42421,-0.01268,2.53320,0.01369,0.0005132
-0.41191,-0.00943,2.53065,0.02529,0.0005257
-0.39962,-0.00834,2.53041,0.02536,0.0005348
-0.38732,-0.00527,2.53176,0.04065,0.0005329
-0.37502,-0.00390,2.53165,0.04052,0.0005378
-0.36273,-0.00183,2.53160,0.04296,0.0005383
-0.35043,0.00208,2.53155,0.04275,0.0005410
-0.33814,0.00328,2.52662,0.05395,0.0005447
-0.32584,0.00570,2.52701,0.05312,0.0005440
-0.31354,0.00945,2.52730,0.05439,0.0005511
-0.30125,0.01070,2.52777,0.05384,0.0005559
-0.28895,0.01324,2.53114,0.06064,0.0005609
-0.27666,0.01705,2.53218,0.05964,0.0005669
-0.26436,0.01874,2.53170,0.05742,0.0005504
-0.25207,0.02261,2.53216,0.05734,0.0005362
-0.23977,0.02505,2.52265,0.06123,0.0005239
-0.22747,0.02726,2.52311,0.06121,0.0005222
-0.21518,0.02849,2.51519,0.05855,0.0005194
-0.20288,0.03091,2.51540,0.05862,0.0005170
-0.19059,0.03335,2.51845,0.06055,0.0005171
-0.17829,0.03678,2.51867,0.06067,0.0005122
-0.16599,0.03905,2.50542,0.05572,0.0005125
-0.15370,0.04117,2.50268,0.05464,0.0005127
-0.14140,0.04293,2.48954,0.05840,0.0005001
-0.12911,0.04395,2.48841,0.05824,0.0004907
-0.11681,0.04640,2.47950,0.05540,0.0004840
-0.10451,0.04776,2.47850,0.05555,0.0004771
-0.09222,0.04996,2.48455,0.06273,0.0004712
-0.07992,0.05182,2.48454,0.06279,0.0004652
-0.06763,0.05296,2.48403,0.06477,0.0004617
-0.05533,0.05379,2.48420,0.06521,0.0004558
-0.04304,0.05454,2.48098,0.07445,0.0004373
-0.03074,0.05540,2.48095,0.07445,0.0004194
-0.01844,0.05627,2.48529,0.08140,0.0004045
-0.00615,0.05663,2.48564,0.08195,0.0003966
0.00615,0.05681,2.49787,0.09659,0.0003778
0.01844,0.05678,2.49787,0.09662,0.0003701
0.03074,0.05668,2.50856,0.10548,0.0003514
0.04304,0.05633,2.50889,0.10557,0.0003429
0.05533,0.05575,2.50720,0.12138,0.0003199
0.06763,0.05476,2.50763,0.12116,0.0003057
0.07992,0.05336,2.51800,0.13132,0.0002859
0.09222,0.05211,2.51854,0.13113,0.0002633
0.10451,0.05176,2.53204,0.14375,0.0002410
0.11681,0.05018,2.53262,0.14358,0.0002225
0.12911,0.04857,2.54298,0.14986,0.0002086
0.14140,0.04482,2.54388,0.14965,0.0001902
0.15370,0.04307,2.54118,0.16077,0.0001667
0.16599,0.04116,2.54157,0.16060,0.0001454
0.17829,0.03892,2.54952,0.16438,0.0001289
0.19059,0.03776,2.55020,0.16414,0.0001019
0.20288,0.03540,2.56236,0.17009,0.0000841
0.21518,0.03298,2.56248,0.16998,0.0000507
0.22747,0.02927,2.56871,0.17035,0.0000304
0.23977,0.02778,2.56867,0.17019,0.0000026
0.25207,0.02371,2.56234,0.17274,-0.0000244
0.26436,0.02350,2.56234,0.17274,-0.0000419
0.27666,0.02008,2.56527,0.16971,-0.0000841
0.28895,0.01744,2.56481,0.16967,-0.0001104
0.30125,0.01362,2.57233,0.16749,-0.0001339
0.31354,0.01102,2.57248,0.16754,-0.0001574
0.32584,0.00844,2.57282,0.16303,-0.0001827
0.33814,0.00587,2.57251,0.16300,-0.0002075
0.35043,0.00460,2.56248,0.15233,-0.0002343
0.36273,0.00226,2.56253,0.15232,-0.0002572
0.37502,0.00013,2.56019,0.14334,-0.0002813
0.38732,-0.00252,2.55820,0.14357,-0.0003057
0.39962,-0.00649,2.56214,0.12800,-0.0003340
0.41191,-0.00868,2.56230,0.12801,-0.0003554
0.42421,-0.00981,2.56247,0.12045,-0.0003803
0.43650,-0.01202,2.56180,0.12065,-0.0003999
0.44880,-0.01416,2.55615,0.10342,-0.0004285
0.46109,-0.01726,2.55580,0.10338,-0.0004439
0.47339,-0.01920,2.55474,0.09528,-0.0004740
0.48569,-0.02034,2.55425,0.09542,-0.0004912
0.49798,-0.02338,2.55786,0.07424,-0.0005162
0.51028,-0.02347,2.55743,0.07420,-0.0005290
0.52257,-0.02515,2.55694,0.06369,-0.0005531
0.53487,-0.02695,2.55647,0.06362,-0.0005615
0.54717,-0.02879,2.55520,0.03749,-0.0005814
0.55946,-0.03118,2.55524,0.03739,-0.0005945
0.57176,-0.03256,2.55722,0.02350,-0.0006091
0.58405,-0.03324,2.55676,0.02342,-0.0006225
0.59635,-0.03454,2.55424,-0.00713,-0.0006342
0.60865,-0.03576,2.55433,-0.00714,-0.0006442
0.62094,-0.03746,2.55346,-0.02437,-0.0006525
0.63324,-0.03849,2.55353,-0.02446,-0.0006589
0.64553,-0.03946,2.55406,-0.05908,-0.0006637
0.65783,-0.04034,2.55438,-0.05929,-0.0006663
0.67012,-0.04076,2.55441,-0.07448,-0.0006671
0.68242,-0.04180,2.55468,-0.07448,-0.0006647
0.69472,-0.04231,2.54550,-0.11235,-0.0006606
0.70701,-0.04303,2.54555,-0.11258,-0.0006538
0.71931,-0.04360,2.54177,-0.12549,-0.0006467
0.73160,-0.04409,2.54134,-0.12551,-0.0006329
0.74390,-0.04422,2.52775,-0.15805,-0.0006190
0.75620,-0.04447,2.52780,-0.15850,-0.0006024
0.76849,-0.04469,2.51852,-0.16879,-0.0005843
0.78079,-0.04485,2.51773,-0.16881,-0.0005637
0.79308,-0.04492,2.50415,-0.18951,-0.0005423
0.80538,-0.04491,2.50397,-0.19040,-0.0005176
0.81767,-0.04481,2.49484,-0.19824,-0.0004917
0.82997,-0.04444,2.49442,-0.19783,-0.0004620
0.84227,-0.04439,2.47271,-0.20565,-0.0004345
0.85456,-0.04400,2.47301,-0.20652,-0.0004043
0.86686,-0.04349,2.46596,-0.20906,-0.0003753
0.87915,-0.04283,2.46521,-0.20884,-0.0003447
0.89145,-0.04215,2.44844,-0.20135,-0.0003099
0.90375,-0.04146,2.44801,-0.20102,-0.0002755
0.91604,-0.04105,2.44026,-0.19651,-0.0002409
0.92834,-0.04024,2.43996,-0.19603,-0.0002064
0.94063,-0.03934,2.41829,-0.17528,-0.0001727
0.95293,-0.03785,2.41857,-0.17458,-0.0001393
0.96523,-0.03676,2.41566,-0.16523,-0.0001069
0.97752,-0.03559,2.41562,-0.16379,-0.0000748
0.98982,-0.03498,2.40530,-0.13740,-0.0000490
1.00211,-0.03370,2.40517,-0.13605,-0.0000139
1.01441,-0.03236,2.40223,-0.13223,0.0000142
1.02670,-0.03101,2.40052,-0.13166,0.0000412
1.03900,-0.02853,2.37826,-0.11020,0.0000634
1.05130,-0.02669,2.37628,-0.10965,0.0000850
1.06359,-0.02512,2.37159,-0.10512,0.0001092
1.07589,-0.02462,2.36964,-0.10388,0.0001319
1.08818,-0.02287,2.36640,-0.08823,0.0001505
1.10048,-0.02040,2.36581,-0.08714,0.0001714
1.11278,-0.01804,2.36601,-0.08363,0.0001899
1.12507,-0.01603,2.36561,-0.08253,0.0002091
1.13737,-0.01398,2.35983,-0.07504,0.0002282
1.14966,-0.01293,2.36002,-0.07442,0.0002461
1.16196,-0.01078,2.36071,-0.07085,0.0002632
1.17425,-0.00859,2.36079,-0.07057,0.0002800
1.18655,-0.00643,2.37006,-0.07020,0.0002907
1.19885,-0.00235,2.37050,-0.07054,0.0002988
1.21114,-0.00001,2.36982,-0.06947,0.0003095
1.22344,0.00186,2.37063,-0.06999,0.0003242
1.23573,0.00310,2.38204,-0.06674,0.0003371
1.24803,0.00548,2.38320,-0.06792,0.0003490
1.26033,0.00798,2.38670,-0.06150,0.0003630
1.27262,0.01175,2.38765,-0.06264,0.0003783
1.28492,0.01431,2.40875,-0.05923,0.0003914
1.29721,0.01687,2.41014,-0.06032,0.0004079
1.30951,0.01805,2.41403,-0.05789,0.0004074
1.32181,0.02044,2.41556,-0.05877,0.0004056
1.33410,0.02294,2.43706,-0.04610,0.0004034
1.34640,0.02675,2.43849,-0.04646,0.0004080
1.35869,0.02955,2.44570,-0.04286,0.0004078
1.37099,0.03198,2.44710,-0.04304,0.0004190
1.38328,0.03437,2.47556,-0.03008,0.0004237
1.39558,0.03552,2.47637,-0.02995,0.0004308
1.40788,0.03780,2.48264,-0.02514,0.0004386
1.42017,0.04003,2.48313,-0.02501,0.0004493
1.43247,0.04295,2.50386,-0.00767,0.0004483
1.44476,0.04517,2.50395,-0.00768,0.0004412
1.45706,0.04727,2.51200,-0.00564,0.0004430
1.46936,0.04771,2.51165,-0.00583,0.0004440
1.48165,0.04959,2.53465,0.01061,0.0004415
1.49395,0.05108,2.53440,0.01043,0.0004427
1.50624,0.05234,2.54012,0.01198,0.0004453
1.51854,0.05414,2.53952,0.01161,0.0004460
1.53083,0.05502,2.55677,0.02795,0.0004366
1.54313,0.05576,2.55661,0.02753,0.0004214
1.55543,0.05607,2.56731,0.02961,0.0004084
1.56772,0.05653,2.56724,0.02921,0.0004028
1.58002,0.05680,2.58805,0.04152,0.0003889
1.59231,0.05684,2.58827,0.04127,0.0003800
1.60461,0.05660,2.59759,0.04279,0.0003714
1.61691,0.05614,2.59777,0.04246,0.0003657
1.62920,0.05583,2.61147,0.05625,0.0003497
1.64150,0.05505,2.61168,0.05605,0.0003366
