x,eta,u,v,pressure
-3.14159,0.05827,2.66141,0.08565,0.0003510
-3.12930,0.05819,2.67244,0.09502,0.0003196
-3.11700,0.05785,2.67406,0.09523,0.0003056
-3.10471,0.05731,2.67721,0.10888,0.0002763
-3.09241,0.05615,2.67877,0.10890,0.0002627
-3.08011,0.05514,2.68912,0.11654,0.0002345
-3.06782,0.05422,2.69003,0.11672,0.0002098
-3.05552,0.05254,2.69921,0.12103,0.0001860
-3.04323,0.05213,2.70005,0.12031,0.0001571
-3.03093,0.05062,2.70486,0.12468,0.0001332
-3.01863,0.04894,2.70429,0.12493,0.0001183
-3.00634,0.04708,2.71132,0.12637,0.0001025
-2.99404,0.04336,2.71258,0.12570,0.0000810
-2.98175,0.04149,2.72121,0.12668,0.0000601
-2.96945,0.04039,2.72113,0.12706,0.0000458
-2.95715,0.03809,2.73261,0.12633,0.0000254
-2.94486,0.03573,2.73336,0.12639,0.0000068
-2.93256,0.03207,2.74024,0.12419,-0.0000124
-2.92027,0.02967,2.74161,0.12425,-0.0000304
-2.90797,0.02762,2.75181,0.12104,-0.0000474
-2.89568,0.02602,2.75334,0.12189,-0.0000628
-2.88338,0.02114,2.76343,0.11686,-0.0000743
-2.87108,0.01891,2.76503,0.11773,-0.0000927
-2.85879,0.01773,2.77795,0.11258,-0.0001172
-2.84649,0.01396,2.77918,0.11339,-0.0001308
-2.83420,0.01135,2.78868,0.10981,-0.0001487
-2.82190,0.01005,2.78985,0.11015,-0.0001651
-2.80960,0.00742,2.80142,0.10020,-0.0001881
-2.79731,0.00441,2.80236,0.10056,-0.0002059
-2.78501,0.00272,2.81306,0.09582,-0.0002264
-2.77272,0.00045,2.81383,0.09591,-0.0002452
-2.76042,-0.00211,2.82575,0.08360,-0.0002619
-2.74813,-0.00525,2.82623,0.08292,-0.0002829
-2.73583,-0.00853,2.83753,0.07863,-0.0003019
-2.72353,-0.00968,2.83755,0.07817,-0.0003179
-2.71124,-0.01195,2.84553,0.06676,-0.0003326
-2.69894,-0.01415,2.84558,0.06650,-0.0003467
-2.68665,-0.01630,2.85794,0.06338,-0.0003575
-2.67435,-0.01908,2.85733,0.06348,-0.0003649
-2.66205,-0.02121,2.86819,0.05534,-0.0003684
-2.64976,-0.02332,2.86791,0.05565,-0.0003716
-2.63746,-0.02379,2.87574,0.05401,-0.0003778
-2.62517,-0.02554,2.87579,0.05489,-0.0003780
-2.61287,-0.02900,2.87981,0.04527,-0.0003768
-2.60057,-0.03043,2.87965,0.04554,-0.0003773
-2.58828,-0.03188,2.87977,0.04390,-0.0003775
-2.57598,-0.03334,2.87857,0.04418,-0.0003747
-2.56369,-0.03404,2.87717,0.03314,-0.0003723
-2.55139,-0.03540,2.87633,0.03350,-0.0003668
-2.53910,-0.03670,2.86961,0.02391,-0.0003619
-2.52680,-0.03791,2.86854,0.02319,-0.0003528
-2.51450,-0.03958,2.85112,0.00889,-0.0003439
-2.50221,-0.04057,2.85112,0.00810,-0.0003344
-2.48991,-0.04135,2.82988,-0.00805,-0.0003251
-2.47762,-0.04198,2.82588,-0.01054,-0.0003156
-2.46532,-0.04274,2.80537,-0.03017,-0.0003053
-2.45302,-0.04382,2.80052,-0.03314,-0.0002967
-2.44073,-0.04445,2.77708,-0.05263,-0.0002868
-2.42843,-0.04503,2.76726,-0.05734,-0.0002765
-2.41614,-0.04546,2.75357,-0.07653,-0.0002651
-2.40384,-0.04549,2.74952,-0.07924,-0.0002539
-2.39155,-0.04583,2.73379,-0.09408,-0.0002424
-2.37925,-0.04607,2.72800,-0.09656,-0.0002297
-2.36695,-0.04622,2.72106,-0.10889,-0.0002178
-2.35466,-0.04630,2.72048,-0.10992,-0.0002060
-2.34236,-0.04621,2.71203,-0.11694,-0.0001948
-2.33007,-0.04604,2.71038,-0.11557,-0.0001825
-2.31777,-0.04601,2.70831,-0.12232,-0.0001724
-2.30547,-0.04574,2.70866,-0.12227,-0.0001610
-2.29318,-0.04509,2.70657,-0.12573,-0.0001524
-2.28088,-0.04457,2.70564,-0.12329,-0.0001429
-2.26859,-0.04403,2.70909,-0.12752,-0.0001345
-2.25629,-0.04340,2.71056,-0.12755,-0.0001226
-2.24399,-0.04293,2.70897,-0.13470,-0.0001151
-2.23170,-0.04215,2.71005,-0.13497,-0.0001029
-2.21940,-0.04137,2.70197,-0.13796,-0.0000889
-2.20711,-0.04050,2.70261,-0.13920,-0.0000730
-2.19481,-0.03897,2.69706,-0.14744,-0.0000621
-2.18252,-0.03784,2.69574,-0.14576,-0.0000358
-2.17022,-0.03663,2.68339,-0.14397,-0.0000188
-2.15792,-0.03600,2.68331,-0.14465,0.0000142
-2.14563,-0.03467,2.67750,-0.14398,0.0000421
-2.13333,-0.03327,2.67731,-0.14331,0.0000779
-2.12104,-0.03109,2.65934,-0.13427,0.0001123
-2.10874,-0.02962,2.65941,-0.13463,0.0001460
-2.09644,-0.02757,2.65938,-0.13618,0.0001791
-2.08415,-0.02712,2.65851,-0.13646,0.0002188
-2.07185,-0.02534,2.64317,-0.12768,0.0002547
-2.05956,-0.02280,2.64392,-0.12966,0.0002953
-2.04726,-0.02119,2.64651,-0.13212,0.0003352
-2.03497,-0.01838,2.64503,-0.13074,0.0003743
-2.02267,-0.01630,2.63133,-0.11781,0.0004106
-2.01037,-0.01416,2.63119,-0.11824,0.0004340
-1.99808,-0.01307,2.63774,-0.11317,0.0004795
-1.98578,-0.01083,2.63836,-0.11337,0.0005069
-1.97349,-0.00854,2.61632,-0.09033,0.0005407
-1.96119,-0.00522,2.61677,-0.09024,0.0005561
-1.94889,-0.00213,2.60837,-0.07890,0.0005698
-1.93660,-0.00004,2.60768,-0.07933,0.0005857
-1.92430,0.00117,2.59225,-0.04518,0.0006031
-1.91201,0.00381,2.59217,-0.04604,0.0006063
-1.89971,0.00620,2.59100,-0.03296,0.0006221
-1.88741,0.00881,2.58954,-0.03272,0.0006286
-1.87512,0.01272,2.58293,0.00570,0.0006372
-1.86282,0.01538,2.58314,0.00559,0.0006502
-1.85053,0.01785,2.57890,0.01508,0.0006502
-1.83823,0.01922,2.57816,0.01520,0.0006350
-1.82594,0.02166,2.57264,0.05264,0.0006189
-1.81364,0.02550,2.57230,0.05294,0.0006035
-1.80134,0.02850,2.56657,0.07364,0.0005933
-1.78905,0.02978,2.56510,0.07480,0.0005781
-1.77675,0.03360,2.56587,0.11201,0.0005714
-1.76446,0.03605,2.56575,0.11240,0.0005546
-1.75216,0.03726,2.56319,0.12700,0.0005456
-1.73986,0.04081,2.56317,0.12781,0.0005310
-1.72757,0.04285,2.55639,0.15671,0.0005089
-1.71527,0.04391,2.55646,0.15715,0.0004798
-1.70298,0.04743,2.54316,0.16968,0.0004599
-1.69068,0.04873,2.54020,0.17016,0.0004365
-1.67839,0.05006,2.53707,0.18077,0.0004158
-1.66609,0.05259,2.53648,0.18084,0.0003962
-1.65379,0.05340,2.52442,0.18164,0.0003687
-1.64150,0.05537,2.52147,0.18091,0.0003470
-1.62920,0.05594,2.51708,0.18356,0.0003120
-1.61691,0.05691,2.51676,0.18306,0.0002977
-1.60461,0.05798,2.51409,0.18289,0.0002669
-1.59231,0.05840,2.51469,0.18349,0.0002532
-1.58002,0.05853,2.51732,0.18275,0.0002251
-1.56772,0.05856,2.51759,0.18209,0.0002114
-1.55543,0.05846,2.51906,0.17826,0.0001837
-1.54313,0.05784,2.51906,0.17913,0.0001708
-1.53083,0.05719,2.51533,0.17602,0.0001449
-1.51854,0.05678,2.51528,0.17579,0.0001332
-1.50624,0.05527,2.51902,0.16988,0.0001050
-1.49395,0.05469,2.51938,0.16962,0.0000857
-1.48165,0.05356,2.53091,0.16349,0.0000661
-1.46936,0.05220,2.53114,0.16332,0.0000392
-1.45706,0.05067,2.53594,0.16005,0.0000174
-1.44476,0.04904,2.53614,0.15971,0.0000037
-1.43247,0.04518,2.54083,0.15874,-0.0000136
-1.42017,0.04343,2.54093,0.15867,-0.0000336
-1.40788,0.04147,2.55314,0.15860,-0.0000568
-1.39558,0.03922,2.55309,0.15840,-0.0000731
-1.38328,0.03805,2.57795,0.15994,-0.0000933
-1.37099,0.03446,2.57818,0.16003,-0.0001217
-1.35869,0.03323,2.58946,0.15758,-0.0001374
-1.34640,0.03072,2.58951,0.15778,-0.0001708
-1.33410,0.02774,2.59656,0.16227,-0.0001942
-1.32181,0.02590,2.59673,0.16211,-0.0002183
-1.30951,0.02111,2.60613,0.16148,-0.0002448
-1.29721,0.01907,2.60683,0.16213,-0.0002721
-1.28492,0.01763,2.62406,0.16241,-0.0003061
-1.27262,0.01384,2.62464,0.16289,-0.0003237
-1.26033,0.01124,2.63110,0.16318,-0.0003533
-1.24803,0.00995,2.63130,0.16337,-0.0003696
-1.23573,0.00608,2.62442,0.16088,-0.0004083
-1.22344,0.00481,2.62409,0.16069,-0.0004286
-1.21114,0.00105,2.62358,0.15818,-0.0004553
-1.19885,0.00036,2.62309,0.15785,-0.0004788
-1.18655,-0.00218,2.62240,0.14461,-0.0005035
-1.17425,-0.00639,2.62192,0.14426,-0.0005335
-1.16196,-0.00745,2.61946,0.13447,-0.0005561
-1.14966,-0.00972,2.61927,0.13418,-0.0005762
-1.13737,-0.01309,2.60535,0.11536,-0.0006022
-1.12507,-0.01526,2.60526,0.11523,-0.0006247
-1.11278,-0.01633,2.59873,0.10050,-0.0006474
-1.10048,-0.01912,2.59835,0.10038,-0.0006637
-1.08818,-0.02075,2.59209,0.07615,-0.0006823
-1.07589,-0.02325,2.59182,0.07603,-0.0006985
-1.06359,-0.02404,2.58375,0.06296,-0.0007236
-1.05130,-0.02580,2.58352,0.06287,-0.0007286
-1.03900,-0.02908,2.56699,0.03723,-0.0007426
-1.02670,-0.03029,2.56644,0.03697,-0.0007545
-1.01441,-0.03119,2.55451,0.02452,-0.0007707
-1.00211,-0.03341,2.55330,0.02421,-0.0007820
-0.98982,-0.03412,2.54001,0.00156,-0.0007924
-0.97752,-0.03616,2.53881,0.00131,-0.0008008
-0.96523,-0.03742,2.52607,-0.01164,-0.0008050
-0.95293,-0.03802,2.52425,-0.01190,-0.0008090
-0.94063,-0.03971,2.50538,-0.03636,-0.0008083
-0.92834,-0.04073,2.50448,-0.03665,-0.0008047
-0.91604,-0.04121,2.49296,-0.04911,-0.0007981
-0.90375,-0.04236,2.49119,-0.04951,-0.0007866
-0.89145,-0.04311,2.47533,-0.07243,-0.0007716
-0.87915,-0.04359,2.47460,-0.07519,-0.0007577
-0.86686,-0.04427,2.46941,-0.09332,-0.0007396
-0.85456,-0.04479,2.46838,-0.09301,-0.0007213
-0.84227,-0.04565,2.45497,-0.11811,-0.0006999
-0.82997,-0.04598,2.45585,-0.11972,-0.0006787
-0.81767,-0.04602,2.45096,-0.13580,-0.0006563
-0.80538,-0.04627,2.45116,-0.13597,-0.0006328
-0.79308,-0.04643,2.43174,-0.15649,-0.0006090
-0.78079,-0.04651,2.43262,-0.15642,-0.0005837
-0.76849,-0.04642,2.41945,-0.17178,-0.0005582
-0.75620,-0.04626,2.41471,-0.17304,-0.0005306
-0.74390,-0.04601,2.39280,-0.18885,-0.0005033
-0.73160,-0.04595,2.38765,-0.19032,-0.0004740
